,Variable,Category,No Stunting (%),Stunting (%),Number of Observations
0,brthord,1,80.19801980198021,19.801980198019802,606
1,brthord,2,81.45833333333333,18.541666666666668,960
2,brthord,3,78.57142857142857,21.428571428571427,406
3,brthord,4,38.46153846153847,61.53846153846154,13
4,birthint,0,79.80295566502463,20.19704433497537,609
5,birthint,1,69.77401129943502,30.225988700564972,354
6,birthint,2,76.55860349127181,23.44139650872818,401
7,birthint,3,86.93693693693693,13.063063063063062,222
8,birthint,4,89.97493734335839,10.025062656641603,399
9,gender,1,79.42913385826772,20.57086614173228,1016
10,gender,2,81.01135190918473,18.988648090815275,969
11,educlvl,1,70.44334975369459,29.55665024630542,203
12,educlvl,2,78.5172704296546,21.48272957034541,1187
13,educlvl,3,86.89075630252101,13.109243697478993,595
14,wlth,1,75.27950310559007,24.720496894409937,805
15,wlth,2,81.0880829015544,18.911917098445596,386
16,wlth,3,84.76070528967254,15.239294710327457,794
17,area,1,84.48717948717949,15.512820512820513,780
18,area,2,77.42738589211619,22.57261410788382,1205
