,Number of Observations,Mean,Standard Deviation,Minimum,25%,Median,75%,Maximum,unique_values,%,counts
month,1985.0,21.12594458438287,16.340050024568338,0.0,8.0,17.0,33.0,59.0,,,
wght,1985.0,3.3480559193954664,0.49693444957445165,0.6,3.1,3.3,3.65,5.0,,,
numchldrn,1985.0,2.8473551637279595,1.3359084996587511,1.0,2.0,3.0,4.0,10.0,,,
agem,1985.0,27.9632241813602,5.240309574645831,17.0,24.0,27.0,31.0,45.0,,,
stunting,,,,,,,,,0.0,80.2015113350126,1592.0
stunting,,,,,,,,,1.0,19.798488664987403,393.0
brthord,,,,,,,,,2.0,48.36272040302267,960.0
brthord,,,,,,,,,1.0,30.528967254408062,606.0
brthord,,,,,,,,,3.0,20.453400503778337,406.0
brthord,,,,,,,,,4.0,0.654911838790932,13.0
birthint,,,,,,,,,0.0,30.680100755667507,609.0
birthint,,,,,,,,,2.0,20.201511335012594,401.0
birthint,,,,,,,,,4.0,20.1007556675063,399.0
birthint,,,,,,,,,1.0,17.83375314861461,354.0
birthint,,,,,,,,,3.0,11.183879093198993,222.0
gender,,,,,,,,,1.0,51.18387909319899,1016.0
gender,,,,,,,,,2.0,48.81612090680101,969.0
educlvl,,,,,,,,,2.0,59.7984886649874,1187.0
educlvl,,,,,,,,,3.0,29.974811083123427,595.0
educlvl,,,,,,,,,1.0,10.226700251889168,203.0
wlth,,,,,,,,,1.0,40.55415617128463,805.0
wlth,,,,,,,,,3.0,40.0,794.0
wlth,,,,,,,,,2.0,19.445843828715365,386.0
area,,,,,,,,,2.0,60.70528967254408,1205.0
area,,,,,,,,,1.0,39.29471032745592,780.0
